,SentimentLabel,review
98,2,five star convenient user friendly white verify purchase
99,2,really like work great play amazon really like work great play amazon music get also play audio app bible phone cool black verify purchase
100,1,ok voice recognition great although feel much alexa learn example ask current humidity give today weather forecast humidity ask nearby fuel price get I m sure feel ask question yeald well result future update black verify purchase
101,2,five star two love white verify purchase
102,2,five star totally love little device black verify purchase
103,2,gadget neat little gadget getting use itcool far black verified purchase
104,2,love alexa need learn way use love alexa need learn way use dot enjoy even mmore black verify purchase
105,2,good everything far good white verify purchase
106,2,five star new gadget hope utilize capability figure white verify purchase
107,1,three star good google home especially pick voice noisy environment white verify purchase
108,1,gift cool little bit circus act ok take four five time get play station want play frustrating would expect learn go clearly do not gift cool little bit circus act see get old black verified purchase
109,0,problem regular alexa disappointed take forever connect wifi would disconnect randomlywhen keep try reset connect never wanted finally completely reset whole thing 3 time happen bluetooth would work redo iti problem regular alexa disappointed dot black verify purchase
110,2,think would use much love think would use much love black verify purchase
111,2,perfect single room love dot perfect bedroom wish could play music little louder sometimes guess that s echo foralso would like could play amazon music echo echo dot time clean move upstairsdownstair black verified purchase
112,0,useful far suppose ok learn use ask alexa simple question come totally inaccurate answer ask temperature city tell temp another city sound like city ask major football game say could answer sure learning curve problem black verify purchase
113,2,five star item describe 3rd one black verify purchase
114,2,five star thing much fun black verified purchase
115,2,five star exactly expect white verify purchase
116,2,five star good quality help make task efficient black verify purchase
117,2,say beautiful small real good listening skill echo dot say beautiful small real good listening skill sharp ear wake name black verify purchase
118,2,four star great voice recognition understand white verify purchase
119,2,great entry point family echo great entry point family echo learning use entire family fun try black verify purchase
120,2,five star love can not go wrong machine listen white verify purchase
121,0,shall sell mine 25 try sell pos worthless listen music must pay subscribe order amazon must subscribe prime call text email far get 3 store knock knock joke black verify purchase
122,2,great product come randomly scare cap great product come randomly scare cap outta we everything ask call upon black verify purchase
123,1,sync two different insteon system work good echo however buy second home amazon could tell sync insteon system since already sync insteon system echo first homedisappointe one primary reason purchase white verify
124,1,three star still learn black verify purchase
125,2,five star awesome possum white verify purchase
126,2,five star awesome white verify purchase
127,2,five star three black verified purchase
128,2,worth money worth money white verify purchase
129,2,good good like black verify purchase
130,2,five star love use alarm clock black verify purchase
131,0,two star good product black verify purchase
132,2,four star good price black verify purchase
133,2,five star alexas friend white verify purchase
134,2,five star excelent white verify purchase
135,2,speaker plenty loud describe speaker plenty loud portability make glad buy instead original echo black verify purchase
136,2,trouble get dot set instruction come trouble get dot set instruction come dot order manual cost black verified purchase
137,2,echo great senior citizen long read book use echo mean burn book cd pile place senior citizen use echo volume high enough hearing issue order speaker solve problem volume issue may need address member audible many year echo find read book black verified purchase
138,2,four star love white verify purchase
139,2,five star love black verify purchase
140,2,fun little device fun little device easy program need little smarter enjoy black verify purchase
141,0,help seem work rightwont answer unplug plug back work little white verify purchase
142,0,enough time read enough time read item understand yet can not seem get music play black verified purchase
143,2,love dot purchase 3 give one love dot purchase 3 give one daughter 1 granddaughter love drop feature black verify purchase
144,2,five star love echo dot expect black verified purchase
145,2,four star amazing black verify purchase
146,2,send son send son good contrast quite powerful look good feel good moderate shape purchase preform duty honor respect arrive time perfect black verified
147,2,helpful like someone talk wish could thing helpful like someone talk black verify purchase
148,2,awesome device work well hope alexa learns skill link chamberlain door opener black verify purchase
149,2,five star great produxt black verify purchase
150,2,nice get hang enjoy black verify purchase
151,0,good flaw unfortunately keep drop wifi several time day nothing signal check device time drop like device work consider send back see isolated unit problem black verify purchase
152,2,quick accurate fun echo dot addition provide need information quickly accurately flat fun great buy reasonable price black verify purchase
153,2,echo dot 2nd gen already love even see full potential yet black verified purchase
154,2,great assistant love thing little device love go store list available tor shop black verify purchase
155,2,like successful liked black verified purchase
156,2,use constantly love buy three granddaughter use constantly love black verify purchase
157,2,helpful gadget clever little gadget lacking feature usa black verify purchase
158,2,great echo love echo much enjoy listen music black verify purchase
159,2,five star love white verify purchase
160,0,practically useless home answer hardly question can not connect info anything without app phone practically useless home white verify purchase
161,2,five star alexa good black verified purchase
162,0,owner two google home speaker owner two google home speaker receive dot dish network even though admit google guy give alexa chance technologically seem product track think sound far inferior google home also easy time setup google home black verify purchase
163,1,ok fun really much limited number game play read story internet unless kindle audible much varied content daily flash briefing also allow shop site except amazoncom first week love sometimes forget white verify purchase
164,2,drop intercom functionality great easy set great chat kid room black verified purchase
165,1,echo dot alexa argentina good gadgetbut many skill service restrict we argentina workingtill use play bunch radio calendar alarm shopping listin setting available we zip codesit good develop unrestrict skill service country black verify purchase
166,0,disappoint currently sit lifeless home use since speaker make noise say alexa light ask question light can not hear alexa I ve try reset make sure mute uninstalling app youtube video forum etc still sound dot black verify purchase
167,2,work great spotify service get fullsize​ eco small one great minus speaker white verify purchase
168,2,five star great product simple use set black verified purchase
169,2,regular echo gift regular echo gift get husband dot christmas last year loves see sale reasonable price order another bedroom alarm clock music soothe sound etc much nice wake black verify purchase
170,2,need handy would recommend anyone busy alexa everything need handy would recommend anyone busy lot thing get do remind thing forget everything ask great black verify purchase
171,1,poor bluetooth funtion good price work wifi work bluetooth function cut bluetooth every use sound ok nothing like echo self black verified purchase
172,2,five star love white verify purchase
173,2,five star work great one problem black verify purchase
174,2,around thing awesome love play 20 question call police one night tell friend say around thing awesome love play 20 question black verify purchase
175,0,google play music support would definitely buy work google play musicsmh black verify
176,1,give 5 star really like whole echo line would give 5 star really like whole echo line many however start happen amazon make change long listen different music device individually word want listen classic rock kitchen husband listen country garage happen anymore totally cancel purchase many really hate might put echos ebay shortly black verified purchase
177,1,work simple command like echo dot disappoint purchase separate hub order make perform anything simple command research hub make decisioni please new echo plus hub include device preordere one right away chap butt include get go echo three dot buy another wrong black verified purchase
178,1,somewhat confused look forward think echo dot capable much much capable figure old limited computer ability add something forget turn particular thing forget program keep work give update month thought would add something ask question request think turn particular thing ask way probably smart lol black verify purchase
179,2,echo dot love talk alexa wealth information tell canny joke know get life talk little black box easy tell set alarm reminder play pandora station much well worth money black verify purchase
180,0,one star disappoint speaker low sound white verify purchase
181,2,awesome wow would recommend anybody good purchase ever black verified purchase
182,2,five star nice product extremely useful great quality black verify purchase
183,0,buy always turn happy start black verify purchase
184,2,four star fun use grandchild love black verify purchase
185,2,five star great little toy black verified purchase
186,2,five star deliver quickly describe black verify purchase
187,2,five star excellent sound small area black verified purchase
188,2,great piece tech great product speaker lack music expect black verified purchase
189,2,five star love black verify purchase
190,2,connie love move room black verify purchase
191,2,cool item everyone connect well bluetooth item love little feature program well simple use set black verified purchase
192,2,love great product add two echo allow alexa coverage around house access smartthings hub work great black verify purchase
193,2,five star love everything say black verify purchase
194,2,fun planning purchasing gift fun planning purchasing gift recommend gift sound good size device black verify purchase
195,2,love integration philip hue work expect advertised love integration philip hue understand question command first time black verify purchase
196,0,aridio martinez say download app alexai use echo dot do not get aplication dominican republic black verify purchase
197,2,love new echo love new echo easy use find email update new alexa feature really useful white verify purchase
198,2,control many smart device light solve several problem large historic home work household intercom system little one know pick wear weather condition music room instantly control many smart device light especially black verified purchase
199,2,nice device nice little box work great suppose wish hardware integration work well smart outlet white verify purchase
200,2,super great love plan get another soon black verified purchase
201,0,disconnect wifi often think get defective one keep disconnect wifi sometimes respond request black verify purchase
202,0,stupid enough useless yet hot enough stain wood although expect much device even useless anticipate good kitchen timer say weather make bad ambient temperature high enough stain wood nowhere apartment go go closet never use black verify purchase
203,2,love echo dot 2nd generation still learn process point time please echo dot 2nd generation device quite helpful understand request black verify purchase
204,0,disappoint appropriate word device expect information music playing option seem need download plus push one buy amazon music package rather simply acquire radio signal yes one may download free app specific genre music different simply tune available station everything seem need wifi link simply connection forget download via laptop wireless strongly consider return item match expectation consider order yes disappointed appropriate word black verify purchase
205,0,get another google mini home review amazon echo dot really disappoint set volume horrible can not hear nothing amazon solution connect pair speaker well do not speaker use another issue fact want we pay able play music echo device already amazon music echo want able play music echo black verify purchase
206,2,product thekind device may good betrue future skill addedfor ok still none mature projectproductnow amazon anounce new generation device high price teach new self discovery experience black verify purchase
207,0,answer question product much seem like must use search engine 90 something sure get prime want buy something find lickety split frequent response get sorry know one instance ask distance boulder co hay ks that s response get kind lame white verify purchase
208,0,guess good review post right people receive dot really really want love thing three child age 4 young really look forward handsfree device range phone thing like set timer play music answer simple question like time etc good device always recognizes exactly say someone definitely software engineer seem like speech recognition hard part device text request log able complete request easily unforunately say something like ok let listen music tell pretty much always understand question get request anything sometimes ask three time actually turn music sometimes literally turn music 45 minute later sometimes stop music randomly 5 minute start predictability actually work example ask set timer 5 minute give confirmation anything assume work write timer go device awesome concept prove completely unreliable need become expensive paperweight fyi second dot exchange think first break do restart resynchs etc thing work well week two reset white verify purchase
209,0,doubt worth alexa app direction state could connect tv white verify purchase
210,2,love love add 3rd group black verify purchase
211,2,five star love integrate ifttt command use echo black verified purchase
212,2,five star alexia great white verify purchase
213,0,one star speaker weak black verified purchase
214,2,love large one also love black verify purchase
215,2,echo dot thumb fun learn thing well echo dot black verify purchase
216,2,great assistant work great much small price make lazy hahaha white verify purchase
217,2,alexa lady every man need bachelor pad full smart home appliance kid one collect ai appliance lol many review awesome echo echo dot much add shall tell everyone read one click add cart even think need one find use black verify purchase
218,2,ok could without work serve purpose noise around pick voice well alot info say something like know much go googleetc maybe miss update something serve purpose we alot mostly weather simple info recipie etc black verify purchase
219,2,love alexa get husband love alexa ask sometimes black verified purchase
220,2,glad receive house warming gift everything hear read see tv hold true glad receive house warming gift black verify purchase
221,2,handy especially echos handy travel bedroom great another echo use communicate place house black verify purchase
222,2,like like convenience setting alarm timer buy three dinningliving room area one bedroom use intercom also make phone call phone alexa app much list basically good easy set work pretty good far unplug reboot often smart device like black verify purchase
223,2,wonderfully helpful senior buy friend 100th birthday suspicious technology bit hard sell first love use check time hard see watch weather know wear go outside keep track calendar make note transfer onto paper calendar often read handwriting afterwards many challenge associate age echo dot great helper astound pack tiny hockeypuck size device cost 50 amazon deserve sort medal black verify purchase
224,0,speaker suck thing really use expect much work involve user part speaker suck thing really use alarm clock get google home black verify purchase
225,2,love play music 3 year old may find everything ask know technology grow love play music 3 year old much fast cruise around youtube black verify purchase
226,2,great addition echo household time review several amazon echo dot 1 year loud clear papa echo still handy part ask impromptu measurement conversion kitchen weather report dropin wife another room immeasurably useful able add item shop todo list think love new skill functionality keep getting add entire echo line constant work progress love stick buy improvement ongoing hiccup run reason home 24 g 5 g wireless network dot occasionally lose connection particular location rest house work fine though black verified purchase
227,2,love love love love love firingonmostcyl household world change since alexa join family little hockey puck good thing since smartphone family two right owning month novelty even begin wear play game music become apart house since alot music fingertip amazon music account need music service make 4 per echo bad deal household loves cook ability send recipe smartphone joy also use control thing bedroom since surgery hip bed really like fight get constantly turn ac window unit keep room comfortable little help wifi plug ask alexa writer help spell mean word need easter egg blast find especially geek like thrilled video game portal reference hahai would spend money dot large sibling though little 50 gadget pretty much everything big one phone screen enough portable show doeshowever show would good thing old generation understand smartphone would like see family talk themthe sound quality be not good big one external speaker fix besides size small discreet nicethe feature really like drop do not like idea people able connect echo silent enough pay attention hear go leisure luckily amazon allow feature turn offanyway gift little dot many people start addiction also plan buy absolutely adore fun helpful technology kudo amazon black verify purchase
228,2,good purchase son chef get original echo bedroom go see show work love use today play mozart patient dementia keep calm nap time well way wake listen frank sinatra could good mom play music help relax play music baby sleep son call last night echo could hear clear also feature turn light think pay extra good purchase buy set keep wall already order speaker black verified purchase
229,2,five star a1 black verify purchase
230,1,nice need battery smart phone nice great need battery requires use smart phone important duty like send message need contact line call play music well sony speaker bundle new connection device 30 mas minos amazon due mid december still need smart phone contact listecho skill still bit lack depth think security dynamic thing rather vague bit scary white verify purchase
231,2,computer define warp speed buy echo dot bundle fire tv stick really good deal resist buying echo previously think nothing glorify interface google voice search much add layer intelligence know time context exactly ask fast respond add skill choice expand capability voicedriven alexa drive app color ring around dot add bit visual feedback current state also helpful rename dot access name alexa computer pretend captain jeanluc picard star trek pretty close capability provide black verify purchase
232,2,five star echo dot great device l would think ever one would one white verify purchase
233,2,five star good product black verify purchase
234,2,five star love dot black verify purchase
235,0,one star fart noise black verify purchase
236,2,item review love item big time get night look clock ask get weather time update news flash black verified purchase
237,2,live ukraine would like see least basic support ua live ukraine would like see least basic support ua least location base service way great job small piece hardware black verify purchase
238,2,clear across room like could say want set clear across room like could say want set alarm certain time black verify purchase
239,2,like lot buy buy echo it ’ bedroom everything echo would know would auto sync speaker bar would buy echo 2 dot either way great glad siri smartthing alexa talk it ’s sll zwave everyone agree let work together work app black verify purchase
240,2,five star husband love use every day black verify purchase
241,2,big help appointment love echo dot big help appointment love black verify purchase
242,2,play song dj love echo dot house full music great dj black verify purchase
243,2,favorite feature stream audible book favorite feature stream audible book use space phone audio book also read kindle ebook need improvement hopefully read speed eventually become adjustable bad black verify purchase
244,0,complicated frustrating disappointed ease use echo dot purchase lot time go offline say connect internet fact also almost keep book remember command learn black verify purchase
245,2,great product great product buy 2 additional echos one shop one wife easy hook sound great use aspect echo play lot music amazon prime music great tell play certain artist play hour easy love product black verify purchase
246,2,five star affordable love kind music anytime black verified purchase
247,2,great have n’t use much one great white verify purchase
248,2,four star fun entertain black verify purchase
249,2,love expect love black verify purchase
250,2,five star family love black verified purchase
251,2,kid love alexa great anything 5 year old get lot entertainment white verify purchase
252,2,four star still learn everything done mostly use music weather update black verify purchase
253,2,good quality product work extremely well good quality product fun white verify purchase
254,2,excellent item love thing excellent item love thing still learningthere book help process black verify purchase
255,1,fun toy ask question unfamiliar way alexa know good sound fun toy black verified purchase
256,2,five star cool item still figure black verify purchase
257,2,exceed expectation much fun echo dot well get good information uptodate news weather imy really impressed alexa keep get smart black verified purchase
258,2,five star love echo black verify purchase
259,1,alexa multiple room quite enough review dot amazon alexa love alexa functionality home dot seem like perfect way take alexa experience multiple room miss mark speaker be not good enough enjoyable audio experience music you ’d think add bluetooth speaker would make well especially since amazon sell dot specifically speaker become unpaired easily it ’ natural tell connect every time want listen music also want play across multiple device awesome feature do not extend bluetooth dinky dot speaker 100 2nd generation echo much well way expand multiple room lack dot black verify purchase
260,0,randomly stop playing continuously set play loop frustrating use sleep baby love device buy use primarily white noise machine baby room run problem recently notice other report problem first ask play ocean sound ocean sound amazon music play different song one play last several month second player stop play even though set play loop incredibly frustrating baby likely wake white noise stop search product support information find solution problem think return use run mill white noise machine instead black verify purchase
261,0,oh man first week love product give 0 star oh man first week love product give workout advice tell weather write list even play music like command tell friend need one week do nothing cycle annoying purposeless green light get rid even though incoming call flash red make register sign online every 25 minute get one song stuck connect internet try hard reset try multiple time resetting router every single time end dead end red light alexa telling understand oh f€€ hell real echo skip song change volume pick genre music ask play 1 song tell sorry echo dot lose connection white verify purchase
262,2,awesome get money worth first day use right fun mode people get example alexa what s temperature outside alexa tall eiffel tower alexa play little deuce coupe go youtube find alot thing alexa real moneymaker amazon use well like black verify purchase
263,2,comparison google home echo dot great option home assistant originally buy google home disappoint slightly get echo dot see work well general feel echo dot much reliable google home way way feature nice say alexa instead say two word activate google home seem petty say one extra word would affect echo dot fall google home bit personality department far general search query go think google home superior place google home come ahead speaker quality two system ability use microphone pick would say roughly equal never complaint either really overall know know smart speaker would buy google home echo black verify purchase
264,2,alexa dot great fun geek satisfied dot voice recognition accurate voice reception range impressive internal audio good small unit feed good audio system sound great dot polish high quality look unobtrusive integrate easily exist lutron remote control system provide easy hand free operation light well garden fountain pump todo list note shopping list function wonderful providing list everywhere cell phone difficulty get system work throughout home turn weakness router coverage upgrading wifi great cost everything work perfectthe alexa application bit crude work learn way around dot lot fun use get tired say name alexa white verify purchase
265,2,work well three speaker system wave futurei two two echos work well three speaker system 2 main speaker sub good sound budget bose speaker one kitchen harmon kardon one living room possibilitie endless use primarily listen music make shopping list weather update timer handyno one get one unless studio apartmentthe wave future black verified purchase
266,2,price pretty awesome con size speaker quite loud far never miss say time misspoken command would like hope development side thing natural way speak rather 1950 style dialog sometimes get echo control device get thing doneim overly impressed music subscription option though would like ability play playlist rather randomly shuffle black verify purchase
267,2,fun way think white verify purchase
268,2,five star amazing product pricedoe everything black verified purchase
269,2,alexawesomeness buy first echo dot june think awesome 3 echo dot echo show around house use every day variety thing like play music turn light onoff change temperature thermostat add item shopping list set reminder set cooking timer recipe football score weather much alexa become part family prefer mic echo show kitchen echo dot room house simply echo dot seem catch voice much well different angle room walk whereas echo show seem well stand somewhat front usually already kitchen cook speaker somewhat low make sense give size dot living room echo dot connect receiver sound well also ask connect bluetooth speaker it ’ great oh prime ask deal order use voice cool black verify purchase
270,0,less functionality purchase would rate high amazon remove functionality buy devicesthe main reason purchase echo dot two kid could play music room first month work great amazon add capability synchronize across multiple device network device play separate song time make device nearly useless speaker nothing impressive ok kid black verified purchase
271,2,work well need improvement like wish would actually turn tell timer wish would stop say ok repeat everything need introduce update give control end user work great 2 year old music player white verify purchase
272,2,pretty cool get birthday gift bf pretty technologically illiterate make google everything bc like type win win wake going say alexa sing happy birthday lol pretty inexpensive expect perfect say thing completely satisfied sound fact plug work black verify purchase
273,1,alexa answer nice gift alexa great thing answer other ie percentage 18th 14th know sometimes offer suggestion go answer question think use extensively capable say maybe use ask google white verify purchase
274,2,great device great little device give time weather play music story tell trivium etc entertain white verify purchase
275,0,echo cut inand request disconnect echo cut inand request disconnect internet cause power constantly black verified purchase
276,2,sweet great product nice lowcost solution smarthome control center add controllable element near future black verified purchase
277,2,love use whenever could love use whenever could use often aunt watch snowden yes read right white verify purchase
278,2,five star love lot time check feature impress far white verified purchase
279,2,five star good white verify purchase
280,2,four star fully satisfied quality sound great device black verify purchase
281,0,worth money pleased product useful plug time use black verify purchase
282,2,four star great love play music get weather news brief black verified purchase
283,2,amazing love exactly want white verify purchase
284,2,five star love thing get one dad white verify purchase
285,2,five star alexa riot black verified purchase
286,2,five star thank black verify purchase
287,1,get extended warranty mileage may vary work fine less year that s suggest buy large echo andor pay extend warranty save money long term make pay break early even though leave desk use turn light offthere probably reason extend warranty 9 50 device thing break even smart light bulb come long warranty frankly give trouble exactly think amazon do away limited warranty offer first generation get error message 1219204 1221511 customer support basically tell everything already do try ask alexa specific thing pretty much uselessim cs graduate know troubleshoot problem device tell there s something either wrong dot server connection like perhaps register wrong mess something maybe even firmware get mess bad update sleeping device trouble network dot end story especially reset everything perhaps dot software reliable hard send packet network unless network driver whatnot janky black verify purchase
288,0,careful amazon change service carefulamazon change service type service offer without notice without let opt deviceknowfrom one echo stream music amazon prime account timethey ask extra cost family package want beg return beyond 1 month trial charge 50 cost buying accord support black verify purchase
289,0,receive replacement dot 2 still receive replacement dot 2 still problem work correctly press action button first wake voice ring light second 2 never respond push action button work know serious flaw design manufacturingwas hope would help entertainment homesorry deliver advertised thinking ordering echo decide may thing clayton brownproblem solve change wake call echo seem work correctly nowclayton brown black verify purchase
290,2,five star love black verify purchase
291,2,live without 2 black verify purchase
292,2,five star love black verify purchase
293,0,change uverse modem dot dot pick new modem i d uverse modem change black verify purchase
294,2,five star work well expect black verified purchase
295,1,disappointment alexa program understand disappointment alexa program understand ie follow command play song nr music album remember song base number album instead name song alexa play next song album play last song music album alexa program know sequence song music album frustrating black verify purchase
296,2,nice nice aroundstill come different use every day work great love black verify purchase
297,2,five star love black verify purchase
298,2,random gift give random gift give really everything even replace radio use dual speaker laptop ihome speaker create surround sound definitely beyond expectation black verify purchase
299,1,like use love use loos wifi connection easily twice day reconnect time sure wifi dot combination bothbut work great black verify purchase
300,2,five star great black verify purchase
301,2,great product work great love item extremely useful list shopping list music information etc black verified purchase
302,2,nice product work well nice product work well control light thermostat get news update well music fact tv listing would answer dial phone number black verify purchase
303,2,small useful excellent purchase use office music keep calendar update black verified purchase
304,2,love think like gen 1 love think like gen 1 rotate dial one favorite gadget planet black verify purchase
305,2,love echo dot love two echo dot use play music two section house use everywhere functionality work great black verify purchase
306,2,five star alexa fun talk house guest like trip silly question white verify purchase
307,2,kid test mother approve great product order son entertain hour around dot black verify purchase
